Episode,Date,Artist,Song,Points
—,January 3,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
—,January 10,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
—,January 17,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
—,January 24,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
—,January 31,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
99,February 7,Red Velvet,"""Rookie""","9,121"
100,February 14,NCT Dream,"""My First and Last""","8,291"
101,February 21,NCT Dream,"""My First and Last""","8,248"
102,February 28,NCT Dream,"""My First and Last""","9,162"
103,March 7,Twice,"""Knock Knock""","8,445"
104,March 14,GFriend,"""Fingertip""","8,235"
105,March 21,Got7,"""Never Ever""","8,663"
106,March 28,Highlight,"""Plz Don't Be Sad""","8,536"
107,April 4,Girl's Day,"""I'll Be Yours""","7,902"
108,April 11,GFriend,"""Fingertip""","7,858"
109,April 18,Jung Eun-ji,"""The Spring""","8,245"
110,April 25,EXID,"""Night Rather Than Day""","9,372"
111,May 2,EXID,"""Night Rather Than Day""","7,704"
—,May 9,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
112,May 16,Lovelyz,"""Now, We""","8,547"
113,May 23,VIXX,"""Shangri-La""","8,447"
114,May 30,Seventeen,"""Don't Wanna Cry""","8,588"
—,June 6,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
115,June 13,Seventeen,"""Don't Wanna Cry""","9,400"
116,June 20,T-ara,"""What's My Name?""","7,368"
117,June 27,Mamamoo,"""Yes I Am""","8,860"
118,July 4,Apink,"""Five""","8,590"
119,July 11,Apink,"""Five""","8,360"
120,July 18,Red Velvet,"""Red Flavor""","9,250"
121,July 25,Exo,"""Ko Ko Bop""","9,570"
122,August 1,Exo,"""Ko Ko Bop""","7,464"
123,August 8,GFriend,"""Love Whisper""","8,950"
—,August 15,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
124,August 22,Wanna One,"""Energetic""","9,400"
125,August 29,Wanna One,"""Energetic""","9,250"
—,September 5,NCT Dream,"""We Young""","8,744"
—,September 12,Exo,"""Power""","7,665"
126,September 19,GFriend,"""Summer Rain""","9,750"
127,September 26,BTS,"""DNA""","10,000"
—,October 3,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
—,October 10,Episode 127 rebroadcast,Episode 127 rebroadcast,Episode 127 rebroadcast
128,October 17,Bolbbalgan4,"""Some""","8,614"
129,October 24,Highlight,"""Can Be Better""","9,292"
130,October 31,No Winner,No Winner,No Winner
131,November 7,No Winner,No Winner,No Winner
132,November 14,Monsta X,"""Dramarama""","7,400"
133,November 21,EXID,"""DDD""","7,388"
134,November 28,Lovelyz,"""Twinkle""","7,220"
—,December 5,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
—,December 12,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
—,December 19,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
135,December 26,No Winner,No Winner,No Winner
