Episode,Date,Artist,Song,Points
—,January 7,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
—,January 14,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
—,January 21,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
—,January 28,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
—,February 4,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
214,February 11,GFriend,"""Crossroads""","7,201"
215,February 18,GFriend,"""Crossroads""","6,680"
216,February 25,Iz*One,"""Fiesta""","8,820"
217,March 3,Iz*One,"""Fiesta""","9,393"
—,March 10,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
218,March 17,Victon,"""Howling""","6,870"
219,March 24,Sejeong,"""Plant""","5,827"
220,March 31,Kang Daniel,"""2U""","8,290"
—,April 7,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
—,April 14,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
221,April 21,Apink,"""Dumhdurum""","7,810"
222,April 28,Solar,"""Spit it Out""","9,100"
223,May 5,Oh My Girl,"""Nonstop""","8,631"
224,May 12,Oh My Girl,"""Nonstop""","6,806"
—,May 19,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
225,May 26,TXT,"""Can't You See Me?""","8,880"
226,June 2,Monsta X,"""Fantasia""","8,690"
227,June 9,Victon,"""Mayday""","8,120"
228,June 16,Cosmic Girls,"""Butterfly""","8,100"
229,June 23,Iz*One,"""Secret Story of the Swan""","9,030"
230,June 30,Iz*One,"""Secret Story of the Swan""","7,657"
231,July 7,AB6IX,"""The Answer""","8,976"
232,July 14,SF9,"""Summer Breeze""","8,830"
233,July 21,GFriend,"""Apple""","9,180"
—,July 28,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
234,August 4,Ateez,"""Inception""","5,870"
235,August 11,Kang Daniel,"""Who U Are""","7,135"
—,August 18,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
—,August 25,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
236,September 1,Cravity,"""Flame""","6,070"
237,September 8,Lovelyz,"""Obliviate""","8,638"
238,September 15,YooA,"""Bon Voyage""","6,689"
239,September 22,Moonbin & Sanha,"""Bad Idea""","6,450"
—,September 29,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
240,October 6,The Boyz,"""The Stealer""","8,370"
241,October 13,Golden Child,"""Pump It Up""","8,680"
242,October 20,Pentagon,"""Daisy""","8,470"
—,October 27,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
243,November 3,TXT,"""Blue Hour""","8,370"
244,November 10,Monsta X,"""Love Killa""","7,410"
245,November 17,GFriend,"""Mago""","9,185"
246,November 24,BtoB 4U,"""Show Your Love""","7,040"
—,December 1,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
247,December 8,NCT U,"""90's Love""","8,070"
248,December 15,Iz*One,"""Panorama""","8,559"
—,December 22,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
—,December 29,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner
