Episode,Date,Artist,Song,Points
11,January 13,EXID,"""Up & Down""","8,165"
12,January 20,Jonghyun,"""Déjà-Boo""","8,604"
13,January 27,Jonghyun,"""Déjà-Boo""","7,388"
14,February 3,Infinite H,"""Pretty""","7,572"
15,February 10,Infinite H,"""Pretty""","8,382"
16,February 17,U-KISS,"""Playground""",China Choice
17,February 24,Lunar New Year,Lunar New Year,Lunar New Year
18,March 3,VIXX,"""Love Equation""","8,250"
19,March 10,VIXX,"""Love Equation""","8,254"
20,March 17,VIXX,"""Love Equation""","7,941"
21,March 24,Boyfriend,"""Bounce""","8,084"
22,March 31,Red Velvet,"""Ice Cream Cake""","7,138"
23,April 7,F.T. Island,"""Pray""","7,832"
24,April 14,F.T. Island,"""Pray""","7,728"
25,April 21,EXID,"""Ah Yeah""","7,117"
26,April 28,Exo,"""Call Me Baby""","8,227"
27,May 5,BTS,"""I Need U""","8,078"
28,May 12,BTS,"""I Need U""","8,442"
29,May 19,Kim Sung-kyu,"""The Answer""","8,413"
—,May 26,UNIQ,"""EOEO""",China Choice
30,June 2,Kara,"""Cupid""","8,274"
31,June 9,Shinee,"""View""","7,861"
32,June 16,Exo,"""Love Me Right""","8,317"
33,June 23,2PM,"""My House""","8,516"
34,June 30,Teen Top,"""Ah-Ah""","7,218"
35,July 7,AOA,"""Heart Attack""","7,416"
36,July 14,Girls' Generation,"""Party""","8,286"
37,July 21,Infinite,"""Bad""","8,648"
38,July 28,Infinite,"""Bad""","8,657"
39,August 4,Summer K-Pop Festival,Summer K-Pop Festival,Summer K-Pop Festival
40,August 11,Summer K-Pop Festival,Summer K-Pop Festival,Summer K-Pop Festival
41,August 18,Summer K-Pop Festival,Summer K-Pop Festival,Summer K-Pop Festival
42,August 25,Girls' Generation,"""Lion Heart""","7,295"
43,September 1,VIXX LR,"""Beautiful Liar""","9,464"
—,September 8,No Chart,No Chart,No Chart
44,September 15,Red Velvet,"""Dumb Dumb""","7,498"
45,September 22,CNBLUE,"""Cinderella""","8,607"
46,September 29,CNBLUE,"""Cinderella""","8,545"
47,October 6,Got7,"""If You Do""","8,981"
48,October 13,Got7,"""If You Do""","8,598"
49,October 20,Got7,"""If You Do""","9,241"
50,October 27,Kim Dong-wan,"""I'm Fine""","7,402"
51,November 3,2015 Asia Dream Concert,2015 Asia Dream Concert,2015 Asia Dream Concert
52,November 10,f(x),"""4 Walls""","8,910"
53,November 17,VIXX,"""Chained Up""","8,914"
54,November 24,Lee Hong-gi,"""Insensible""","7,310"
55,December 1,B.A.P,"""Young, Wild & Free""","7,447"
56,December 8,BTS,"""Run""","8,951"
