Episode,Date,Artist,Song,Points,Ref.
—,January 7,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
694,January 14,Rain & J. Y. Park,"""Switch to Me""","5,886",
695,January 21,(G)I-dle,"""Hwaa""","9,594",
696,January 28,(G)I-dle,"""Hwaa""","7,725",
697,February 4,(G)I-dle,"""Hwaa""","7,173",
—,February 11,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
698,February 18,Kim Woo Seok,"""Sugar""","6,747",
699,February 25,Kang Daniel,"""Paranoia""","8,599",
700,March 4,Shinee,"""Don't Call Me""","10,990",
701,March 11,Shinee,"""Don't Call Me""","7,505",
702,March 18,Brave Girls,"""Rollin'""","6,347",
703,March 25,Rosé,"""On the Ground""",—,
704,April 1,IU,"""Lilac""","7,064",
705,April 8,Rosé,"""On the Ground""","7,483",
706,April 15,Astro,"""One""","9,097",
—,April 22,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
707,April 29,NU'EST,"""Inside Out""","7,700",
708,May 6,Itzy,"""In the Morning""","6,120",
709,May 13,Itzy,"""In the Morning""","8,526",
710,May 20,NCT Dream,"""Hot Sauce""","10,800",
711,May 27,NCT Dream,"""Hot Sauce""","8,275",
712,June 3,NCT Dream,"""Hot Sauce""","6,723",
713,June 10,TXT,"""0X1=Lovesong (I Know I Love You)""","6,770",
714,June 17,Twice,"""Alcohol-Free""","10,123",
715,June 24,Twice,"""Alcohol-Free""",—,
716,July 1,Seventeen,"""Ready to Love""","7,932",
717,July 8,NCT Dream,"""Hello Future""","7,915",
718,July 15,NCT Dream,"""Hello Future""","7,002",
—,July 22,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
719,July 29,Jeon So-yeon,"""Beam Beam""","9,322",
—,August 5,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
720,August 12,Somi,"""Dumb Dumb""","7,125",
721,August 19,The Boyz,"""Thrill Ride""",—,
722,August 26,Red Velvet,"""Queendom""","9,345",
723,September 2,Stray Kids,"""Thunderous""","7,180",
724,September 9,Stray Kids,"""Thunderous""","9,421",
725,September 16,STAYC,"""Stereotype""","8,146",
726,September 23,NCT 127,"""Sticker""",—,
727,September 30,NCT 127,"""Sticker""","8,755",
728,October 7,NCT 127,"""Sticker""","9,200",
729,October 14,Itzy,"""Loco""","6,215",
—,October 21,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
730,October 28,Seventeen,"""Rock With You""","6,380",
731,November 4,NCT 127,"""Favorite (Vampire)""","7,549",
732,November 11,NCT 127,"""Favorite (Vampire)""","7,690",
—,November 18,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
733,November 25,MAMA Nominees Special; No Winner,MAMA Nominees Special; No Winner,MAMA Nominees Special; No Winner,[citation needed]
734,December 2,MAMA Nominees Special; No Winner,MAMA Nominees Special; No Winner,MAMA Nominees Special; No Winner,[citation needed]
—,December 9,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
—,December 16,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
—,December 23,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
—,December 30,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,[citation needed]
