Episode,Date,Artist,Song,Points,Ref.
505,January 5,Big Bang,"""Fxxk It""","9,750",
506,January 12,Big Bang,"""Fxxk It""","10,225",
507,January 19,AKMU,"""Last Goodbye""","6,432",
508,January 26,Seohyun,"""Don't Say No""","7,411",
509,February 2,AOA,"""Excuse Me""",—,
510,February 9,Red Velvet,"""Rookie""","10,503",
511,February 16,Red Velvet,"""Rookie""","10,903",
512,February 23,BTS,"""Spring Day""","10,629",
513,March 2,Twice,"""Knock Knock""","9,942",
514,March 9,Taeyeon,"""Fine""","9,747",
515,March 16,Twice,"""Knock Knock""","9,440",
516,March 23,Got7,"""Never Ever""","7,976",
517,March 30,Highlight,"""Plz Don't Be Sad""",—,
518,April 6,Highlight,"""Plz Don't Be Sad""","8,821",
519,April 13,Winner,"""Really Really""","9,216",
520,April 20,Winner,"""Really Really""","8,903",
521,April 27,IU,"""Palette""","7,626",
522,May 4,IU,"""Palette""",—,
523,May 11,Hyukoh,"""Tomboy""","7,121",
524,May 18,Psy,"""I Luv It""","7,843",
525,May 25,Twice,"""Signal""",—,
526,June 1,Twice,"""Signal""","8,867",
527,June 8,Highlight,"""Calling You""","9,182",
528,June 15,Seventeen,"""Don't Wanna Cry""","8,990",
529,June 22,NCT 127,"""Cherry Bomb""","7,325",
530,June 29,Mamamoo,"""Yes I Am""",—,
531,July 6,Mamamoo,"""Yes I Am""",—,
532,July 13,Mamamoo,"""Yes I Am""","8,163",
533,July 20,Red Velvet,"""Red Flavor""","10,877",
534,July 27,Exo,"""Ko Ko Bop""","8,982",
535,August 3,Exo,"""Ko Ko Bop""","9,003",
536,August 10,Exo,"""Ko Ko Bop""","9,353",
537,August 17,Wanna One,"""Energetic""","10,666",
538,August 24,Wanna One,"""Energetic""","10,844",
539,August 31,Wanna One,"""Energetic""",—,
540,September 7,Sunmi,"""Gashina""","8,486",
541,September 14,Exo,"""Power""","11,000",
542,September 21,GFriend,"""Summer Rain""","10,091",
543,September 28,BTS,"""DNA""","11,000",
544,October 5,BTS,"""DNA""",—,
—,October 12,Special Broadcast of BTS Countdown,Special Broadcast of BTS Countdown,Special Broadcast of BTS Countdown,
545,October 19,NU'EST W,"""Where You At""","9,521",
546,October 26,BtoB,"""Missing You""","10,330",
547,November 2,BtoB,"""Missing You""","9,968",
548,November 9,Twice,"""Likey""","10,082",
549,November 16,Twice,"""Likey""",—,
550,November 23,Wanna One,"""Beautiful""",—,
—,November 30,"MAMA Special Broadcast, winners were not announced","MAMA Special Broadcast, winners were not announced","MAMA Special Broadcast, winners were not announced",
—,December 7,"MAMA Special Broadcast, winners were not announced","MAMA Special Broadcast, winners were not announced","MAMA Special Broadcast, winners were not announced",
—,December 14,"MAMA Special Broadcast, winners were not announced","MAMA Special Broadcast, winners were not announced","MAMA Special Broadcast, winners were not announced",
551,December 21,Twice,"""Heart Shaker""","9,776",
552,December 28,Twice,"""Heart Shaker""",—,
