Episode,Date,Artist,Song,Points,Ref.
—,January 1,No.1 Special,No.1 Special,No.1 Special,
407,January 8,EXID,"""Up & Down""",—,
408,January 15,EXID,"""Up & Down""",—,
409,January 22,Jonghyun,"""Déjà-Boo""","6,995",
410,January 29,Mad Clown,"""Fire""","7,409",
411,February 5,Davichi,"""Cry Again""","7,238",
412,February 12,Infinite H,"""Pretty""","7,209",
—,February 19,4Minute,"""Crazy""",—,
413,February 26,4Minute,"""Crazy""","8,636",
414,March 5,VIXX,"""Love Equation""","8,403",
415,March 12,Shinhwa,"""Sniper""",—,
416,March 19,Shinhwa,"""Sniper""","7,965",
417,March 26,Shinhwa,"""Sniper""","8,554",
418,April 2,Red Velvet,"""Ice Cream Cake""","8,069",
419,April 9,Exo,"""Call Me Baby""","7,745",
420,April 17,Exo,"""Call Me Baby""","7,756",
421,April 23,"KCON Japan Special Episode, winners were not announced","KCON Japan Special Episode, winners were not announced","KCON Japan Special Episode, winners were not announced",
422,April 30,Exo,"""Call Me Baby""","7,652",
423,May 7,BTS,"""I Need U""","6,876",
424,May 14,Big Bang,"""Loser""","9,669",
425,May 21,Big Bang,"""Loser""","8,188",
426,May 28,Shinee,"""View""","9,037",
427,June 4,Shinee,"""View""","9,762",
428,June 11,Big Bang,"""Bang Bang Bang""","9,669",
429,June 18,Exo,"""Love Me Right""","9,238",
430,June 25,Big Bang,"""Bang Bang Bang""","9,124",
431,July 2,Sistar,"""Shake It""",—,
432,July 9,Big Bang,"""Sober""","8,487",
433,July 16,Girls' Generation,"""Party""","10,654",
434,July 23,Infinite,"""Bad""","8,851",
435,July 30,Apink,"""Remember""","9,244",
436,August 6,Beast,"""YeY""",—,
437,August 13,"KCON LA Special Episode, winners were not announced","KCON LA Special Episode, winners were not announced","KCON LA Special Episode, winners were not announced",
438,August 15,"KCON NY Special Episode, winners were not announced","KCON NY Special Episode, winners were not announced","KCON NY Special Episode, winners were not announced",
439,August 20,GD & TOP,"""Zutter""","10,741",
440,August 27,Girls' Generation,"""Lion Heart""","9,868",
441,September 3,Girls' Generation,"""Lion Heart""","10,988",
442,September 10,Girls' Generation,"""Lion Heart""","10,961",
443,September 17,Red Velvet,"""Dumb Dumb""","10,085",
444,September 24,Red Velvet,"""Dumb Dumb""",—,
445,October 1,Soyou & Kwon Jeong Yeol,"""Lean On Me""","7,137",
446,October 8,iKon,"""Rhythm Ta""","7,068",
447,October 15,Taeyeon,"""I""","10,929",
448,October 22,Taeyeon,"""I""","9,541",
449,October 29,Taeyeon,"""I""","10,093",
450,November 5,f(x),"""4 Walls""","10,688",
—,November 12,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
451,November 19,f(x),"""4 Walls""",—,
452,November 26,Dynamic Duo,"""Jam""",—,
—,December 3,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
—,December 10,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
453,December 17,Psy,"""Daddy""",—,
454,December 24,Psy,"""Daddy""",—,
—,December 31,No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,
