Date,Artist,Song,Points
August 29,Girls' Generation,"""Lion Heart""","8,068"
September 5,No Chart,No Chart,No Chart
September 12,No Chart,No Chart,No Chart
September 19,Girls' Generation,"""Lion Heart""","9,699"
September 26,iKon,"""My Type""","8,277"
October 3,Park Kyung,"""Ordinary Love""","6,693"
October 10,No Show,No Show,No Show
October 17,No Chart,No Chart,No Chart
October 24,Taeyeon,"""I""","9,174"
October 31,No Show: 2015 KBO Pro Baseball Korean Series,No Show: 2015 KBO Pro Baseball Korean Series,No Show: 2015 KBO Pro Baseball Korean Series
November 7,No Chart,No Chart,No Chart
November 14,IU,"""Twenty-Three""","7,503"
548,April 22,Winner,"""Really Really""","7,378"
549,April 29,IU,"""Palette""","7,248"
550,May 6,IU,"""Palette""","7,720"
551,May 13,Sechs Kies,"""Be Well""","8,138"
552,May 20,Sechs Kies,"""Be Well""","7,412"
553,May 27,Twice,"""Signal""","8,448"
554,June 3,Twice,"""Signal""","8,053"
555,June 10,Highlight,"""Calling You""","7,636"
556,June 17,G-Dragon,"""Untitled, 2014""","7,854"
557,June 24,G-Dragon,"""Untitled, 2014""","7,359"
558,July 1,Mamamoo,"""Yes I Am""","8,760"
559,July 8,Apink,"""Five""","7,118"
560,July 15,Apink,"""Five""","5,742"
561,July 22,Red Velvet,"""Red Flavor""","9,427"
562,July 29,"Special episode, winners were not announced","Special episode, winners were not announced","Special episode, winners were not announced"
563,August 5,Exo,"""Ko Ko Bop""","9,316"
564,August 12,Exo,"""Ko Ko Bop""","9,266"
565,August 19,Wanna One,"""Energetic""","9,703"
566,August 26,Wanna One,"""Energetic""","7,740"
567,September 2,Wanna One,"""Energetic""","6,390"
—,"No show, winners were not announced (September 9 – November 18)","No show, winners were not announced (September 9 – November 18)","No show, winners were not announced (September 9 – November 18)","No show, winners were not announced (September 9 – November 18)"
568,November 25,Wanna One,"""Beautiful""","8,908"
569,December 2,Wanna One,"""Beautiful""","8,291"
570,December 9,Wanna One,"""Beautiful""","5,964"
571,December 16,Wanna One,"""Beautiful""","5,922"
572,December 23,Twice,"""Heart Shaker""","9,929"
—,December 30,Twice,"""Heart Shaker""","8,994"
573,January 6,Exo,"""Universe""","9,031"
574,January 13,Twice,"""Heart Shaker""","7,007"
575,January 20,Infinite,"""Tell Me""","6,494"
576,January 27,Sunmi,"""Heroine""","6,010"
577,February 3,Jonghyun,"""Shinin'""","7,975"
—,February 10
—,February 17
578,February 24,iKon,"""Love Scenario""","8,620"
579,March 3,iKon,"""Love Scenario""","8,551"
580,March 10,iKon,"""Love Scenario""","7,929"
581,March 17,Wanna One,"""I Promise You (I.P.U.)""","7,619"
—,March 24
582,March 31,Wanna One,"""Boomerang""","9,289"
583,April 7,Wanna One,"""Boomerang""","6,425"
584,April 14,Winner,"""Everyday""","9,112"
585,April 21,Twice,"""What Is Love?""","8,029"
586,April 28,Twice,"""What Is Love?""","8,934"
—,May 5
587,May 12,GFriend,"""Time for the Moon Night""","8,842"
588,May 19,GFriend,"""Time for the Moon Night""","7,872"
589,May 26,BTS,"""Fake Love""","8,919"
590,June 2,BTS,"""Fake Love""","10,000"
591,June 9,BTS,"""Fake Love""","8,056"
592,June 16,Wanna One,"""Light""","8,025"
593,June 23,Blackpink,"""Ddu-Du Ddu-Du""","6,071"
594,June 30,Blackpink,"""Ddu-Du Ddu-Du""","8,174"
595,July 7,Blackpink,"""Ddu-Du Ddu-Du""","7,273"
596,July 14,Blackpink,"""Ddu-Du Ddu-Du""","7,367"
597,July 21,Twice,"""Dance the Night Away""","9,792"
598,July 28
599,August 4,Twice,"""Dance the Night Away""","7,440"
600,August 11,Twice,"""Dance the Night Away""","6,575"
601,August 18,Red Velvet,"""Power Up""","9,387"
—,August 25
—,September 1
602,September 8
—,September 15
603,September 22,Sunmi,"""Siren""","6,513"
604,September 29,Got7,"""Lullaby""","6,123"
605,October 6,Im Chang-jung,"""There Has Never Been a Day I Haven't Loved You""","5,840"
606,October 13,iKon,"""Goodbye Road""","8,577"
607,October 20,IU,"""Bbibbi""","8,067"
608,October 27,IU,"""Bbibbi""","8,264"
609,November 3,IU,"""Bbibbi""","7,729"
—,November 10
610,November 17
—,November 24
611,December 1,Wanna One,"""Spring Breeze""","8,123"
612,December 8,Mino,"""Fiancé""","6,961"
613,December 15,Mino,"""Fiancé""","7,302"
614,December 22,Exo,"""Love Shot""","6,762"
615,December 29
616,05-Jan,Winner,"""Millions""","6,961",[1]
617,12-Jan,Chungha,"""Gotta Go""","7,020",[2]
618,19-Jan,Chungha,"""Gotta Go""","6,795",[3]
619,26-Jan,GFriend,"""Sunrise""","6,698",[4]
620,02-Feb,Seventeen,"""Home""","6,874",[5]
�,09-Feb,"No Show, No chart, winners were not announced",,,[6]
621,16-Feb,Chungha,"""Gotta Go""","5,668",[7]
622,23-Feb,Itzy,"""Dalla Dalla""","7,164",[8]
623,02-Mar,Hwasa,"""Twit""","7,344",[9]
624,09-Mar,Itzy,"""Dalla Dalla""","6,267",[10]
625,16-Mar,Hwasa,"""Twit""","5,804",[11]
�,23-Mar,"No Show, No chart, winners were not announced",,,[12]
626,30-Mar,Mamamoo,"""Gogobebe""","7,444",[13]
627,06-Apr,Taeyeon,"""Four Seasons""","7,372",[14]
628,13-Apr,Chen,"""Beautiful Goodbye""","6,732",[15]
629,20-Apr,BTS,"""Boy with Luv""","6,743",[16]
630,27-Apr,,,"10,000",
�,04-May,"No Show, No chart, winners were not announced",,,[17]
631,11-May,BTS,"""Boy with Luv""","7,967",[18]
632,18-May,BTS,"""Boy with Luv""","8,278",[19]
633,25-May,BTS,"""Boy with Luv""","8,830",[20]
634,01-Jun,BTS,"""Boy with Luv""","8,247",[21]
635,08-Jun,BTS,"""Boy with Luv""","7,218",[22]
636,15-Jun,BTS,"""Boy with Luv""","6,902",[23]
637,22-Jun,BTS,"""Boy with Luv""","6,080",[24]
638,29-Jun,Red Velvet,"""Zimzalabim""","6,245",[25]
639,06-Jul,Chungha,"""Snapping""","7,864",[26]
640,13-Jul,GFriend,"""Fever""","6,463",[27]
641,20-Jul,Baekhyun,"""UN Village""","6,773",[28]
642,27-Jul,"No chart, winners were not announced",,,[29]
643,03-Aug,"No chart, winners were not announced",,,[30]
644,10-Aug,Itzy,"""Icy""","7,412",[31]
645,17-Aug,Itzy,"""Icy""","6,309",[32]
646,24-Aug,Itzy,"""Icy""","7,175",
647,31-Aug,Red Velvet,"""Umpah Umpah""","8,033",
�,07-Sep,"No Show, No chart, winners were not announced",,,
648[a],14-Sep,"No chart, winners were not announced",,,
649,21-Sep,Bolbbalgan4,"""Workaholic""","7,175",
650,28-Sep,Bolbbalgan4,"""Workaholic""","6,656",
651[b],12-Oct,"No chart, winners were not announced",,,
652,19-Oct,,,,
653,26-Oct,AKMU,"""How Can I Love the Heartbreak, You're the One I Love""","8,390",
654,02-Nov,NU'EST,"""Love Me""","7,670",
655,09-Nov,Taeyeon,"""Spark""","9,740",
656,16-Nov,IU,"""Love Poem""","8,830",
657,23-Nov,IU,"""Love Poem""","7,194",
�,30-Nov,"No Show, No chart, winners were not announced",,,
658,07-Dec,Exo,"""Obsession""","8,194",
659,14-Dec,Exo,"""Obsession""","7,549",
660,21-Dec,IU,"""Blueming""","7,312",
661,28-Dec,"No chart, winners were not announced",,,662,January 4,Red Velvet,"""Psycho""","10,895",
663,January 11,Red Velvet,"""Psycho""","9,398",
664,January 18,Red Velvet,"""Psycho""","8,047",
—,January 25,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
665,February 1,Zico,"""Any Song""","8,267",
666,February 8,Zico,"""Any Song""","7,630",
667,February 15,Zico,"""Any Song""","6,900",
668,February 22,Zico,"""Any Song""","7,001",
669,February 29,BTS,"""On""","8,288",
670,March 7,BTS,"""On""","10,518",
671,March 14,BTS,"""On""","8,038",
672,March 21,BTS,"""On""","8,516",
673,March 28,BTS,"""On""","8,909",
674,April 4,Kang Daniel,"""2U""","9,142",
675,April 11,Suho,"""Let's Love""","9,861",
676,April 18,(G)I-dle,"""Oh My God""","8,788",
677,April 25,Apink,"""Dumhdurum""","10,780",
678,May 2,Apink,"""Dumhdurum""","10,147",
679,May 9,Oh My Girl,"""Nonstop""","9,433",
—,May 16,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
680,May 23,NU'EST,"""I’m in Trouble""","9,166",
681,May 30,NCT 127,"""Punch""","9,374",
—,June 6,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
682,June 13,Twice,"""More & More""","10,871",
683,June 20,Twice,"""More & More""","9,448",
684,June 27,Iz*One,"""Secret Story of the Swan""","9,492",
685,July 4,Seventeen,"""Left & Right""","8,540",
686,July 11,Blackpink,"""How You Like That""","10,464",
687,July 18,Blackpink,"""How You Like That""","10,048",
688,July 25,Blackpink,"""How You Like That""","8,023",
689,August 1,SSAK3,"""Beach Again""","8,399",
—,August 8,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
690,August 15,Kang Daniel,"""Who U Are""","7,384",
691,August 22,SSAK3,"""Beach Again""","7,530",
692,August 29,BTS,"""Dynamite""","8,882",
693,September 5,BTS,"""Dynamite""","9,657",
694,September 12,BTS,"""Dynamite""","9,755",
695,September 19,BTS,"""Dynamite""","8,629",
696,September 26,BTS,"""Dynamite""","10,602",
—,October 3,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
697,October 10,BTS,"""Dynamite""","10,319",
698,October 17,BTS,"""Dynamite""","10,127",
699,October 24,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
700,October 31,BTS,"""Dynamite""","9,864",
701,November 7,BTS,"""Dynamite""","9,740",
702,November 14,BTS,"""Dynamite""","10,130",
703,November 21,"No chart, winners were not announced","No chart, winners were not announced","No chart, winners were not announced",
704,November 28,BTS,"""Life Goes On""","10,656",
705,December 5,BTS,"""Life Goes On""","11,881",
706,December 12,BTS,"""Life Goes On""","10,981",
—,December 19,"No show, winners were not announced","No show, winners were not announced","No show, winners were not announced",
707,December 26,"No chart, winners were not announced","No chart, winners were not announced","No chart, winners were not announced",
708,January 2,BTS,"""Life Goes On""","8,141",
709,January 9,BTS,"""Life Goes On""","8,389",
710,January 16,BTS,"""Life Goes On""","7,819",
711,January 23,(G)I-dle,"""Hwaa""","9,831",
712,January 30,(G)I-dle,"""Hwaa""","7,454",
713,February 6,IU,"""Celebrity""","10,204",
—,February 13,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
714,February 20,IU,"""Celebrity""","8,847",
715,February 27,Kang Daniel,"""Paranoia""","10,323",
716,March 6,Shinee,"""Don't Call Me""","9,546",
717,March 13,IU,"""Celebrity""","6,935",
718,March 20,Lim Young-woong,"""My Starry Love""","8,292",
719,March 27,Rosé,"""On the Ground""","8,394",
—,April 3,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
—,April 10,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
720,April 17,IU,"""Lilac""","6,883",
721,April 24,Kang Daniel,"""Antidote""","10,702",
722,May 1,NU'EST,"""Inside Out""","8,800",
723,May 8,IU,"""Lilac""","6,949",
724,May 15,Highlight,"""Not The End""","7,504",
725,May 22,NCT Dream,"""Hot Sauce""","10,000",
726,May 29,BTS,"""Butter""","8,344",
727,June 5,BTS,"""Butter""","8,300",
728,June 12,BTS,"""Butter""","8,200",
729,June 19,BTS,"""Butter""","7,792",
730,June 26,BTS,"""Butter""","7,907",
731,July 3,Brave Girls,"""Chi Mat Ba Ram""","7,268",
732,July 10,NCT Dream,"""Hello Future""","6,720",
733,July 17,BTS,"""Permission to Dance""","7,310",
—,July 24,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
—,July 31,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
—,August 7,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
734,August 14,Astro,"""After Midnight""","8,015",
735,August 21,The Boyz,"""Thrill Ride""","7,401",
736,August 28,Red Velvet,"""Queendom""","8,967",
737,September 4,Red Velvet,"""Queendom""","6,454",
738,September 11,Red Velvet,"""Queendom""","7,321",
—,September 18,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
739,September 25,NCT 127,"""Sticker""","8,602",
740,October 2,NCT 127,"""Sticker""","8,532",
741,October 9,Key,"""Bad Love""","6,419",
742,October 16,Aespa,"""Savage""","9,099",
743,October 23,Aespa,"""Savage""","7,271",
744,October 30,IU,"""Strawberry Moon""","6,797",
745,November 6,NCT 127,"""Favorite (Vampire)""","8,456",
746,November 13,The Boyz,"""Maverick""","7,435",
747,November 20,IU,"""Strawberry Moon""","6,039",
748,November 27,IU,"""Strawberry Moon""","5,823",
749,December 4,IU,"""Strawberry Moon""","5,530",
750,December 11,IU,"""Strawberry Moon""","5,570",
751,December 18,Ive,"""Eleven""","7,486",
752,December 25,"Special episode, winner not announced","Special episode, winner not announced","Special episode, winner not announced",
—,January 1,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
753,January 8,Ive,"""Eleven""","6,408",
754,January 15,Ive,"""Eleven""","6,532",
755,January 22,Ive,"""Eleven""","6,600",
—,January 29,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
—,February 5,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
—,February 12,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
—,February 19,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
756,February 26,Taeyeon,"""INVU""","7,277",
757,March 5,Taeyeon,"""INVU""","6,379",
758,March 12,Taeyeon,"""INVU""","7,180",
759,March 19,Taeyeon,"""INVU""","7,287",
760,March 26,(G)I-dle,"""Tomboy""","7,588",
—,April 2,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
761,April 9,NCT Dream,"""Glitch Mode""","9,300",
—,April 16,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
762,April 23,Big Bang,"""Still Life""","7,165",
763,April 30,Big Bang,"""Still Life""","7,883",
764,May 7,Big Bang,"""Still Life""","6,551",
765,May 14,Lim Young-woong,"""If We Ever Meet Again""","7,885",
766,May 21,Psy feat. Suga,"""That That""","6,586",
—,May 28,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
767,June 4,Kang Daniel,"""Upside Down""","7,820",
768,June 11,NCT Dream,"""Beatbox""","9,800",
—,June 18,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
769,June 25,BTS,"""Yet to Come""","7,415",
770,July 2,Lim Young-woong,"""If We Ever Meet Again""","6,678",
771,July 9,Fromis 9,"""Stay This Way""","8,242",
772,July 16,Nayeon,"""Pop!""","7,022",
773,July 23,WSG Wannabe (GayaG),"""At That Moment""","6,153",
—,July 30,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
774,August 6,WSG Wannabe (GayaG),"""At That Moment""","6,378",
775,August 13,"Special episode, winner not announced","Special episode, winner not announced","Special episode, winner not announced",
776,August 20,NewJeans,"""Attention""","7,495",
777,August 27,The Boyz,"""Whisper""","6,197",
778,September 3,Ive,"""After Like""","9,191",
—,September 10,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
779,September 17,Ive,"""After Like""","7,807",
780,September 24,Ive,"""After Like""","6,935",
781,October 1,NCT 127,"""2 Baddies""","6,638",
782,October 8,Blackpink,"""Shut Down""","7,472",
—,October 15,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
783,October 22,Ive,"""After Like""","6,672",
784,October 29,(G)I-dle,"""Nxde""","9,081",
—,November 5,"No show, winner not announced","No show, winner not announced","No show, winner not announced",
785,November 12,(G)I-dle,"""Nxde""","7,684",
786,November 19,(G)I-dle,"""Nxde""","6,191",
